(0, 0, 0, 0, 0)	0.0
(0, 0, 0, 0, 1)	3.8
(0, 0, 0, 0, 2)	0.0
(0, 0, 0, 1, 0)	5.7
(0, 0, 0, 1, 1)	10.3
(0, 0, 0, 1, 2)	9.1
(0, 0, 0, 2, 0)	0.0
(0, 0, 0, 2, 1)	6.3
(0, 0, 0, 2, 2)	0.0
(0, 0, 1, 0, 0)	5.8
(0, 0, 1, 0, 1)	11.2
(0, 0, 1, 0, 2)	7.2
(0, 0, 1, 1, 0)	10.0
(0, 0, 1, 1, 1)	17.2
(0, 0, 1, 1, 2)	10.7
(0, 0, 1, 2, 0)	10.2
(0, 0, 1, 2, 1)	11.1
(0, 0, 1, 2, 2)	7.5
(0, 0, 2, 0, 0)	0.0
(0, 0, 2, 0, 1)	8.2
(0, 0, 2, 0, 2)	0.0
(0, 0, 2, 1, 0)	4.1
(0, 0, 2, 1, 1)	10.3
(0, 0, 2, 1, 2)	7.6
(0, 0, 2, 2, 0)	0.0
(0, 0, 2, 2, 1)	10.5
(0, 0, 2, 2, 2)	0.0
(0, 1, 0, 0, 0)	6.2
(0, 1, 0, 0, 1)	11.4
(0, 1, 0, 0, 2)	7.9
(0, 1, 0, 1, 0)	9.3
(0, 1, 0, 1, 1)	15.7
(0, 1, 0, 1, 2)	11.2
(0, 1, 0, 2, 0)	7.5
(0, 1, 0, 2, 1)	13.4
(0, 1, 0, 2, 2)	7.7
(0, 1, 1, 0, 0)	14.0
(0, 1, 1, 0, 1)	23.8
(0, 1, 1, 0, 2)	11.3
(0, 1, 1, 1, 0)	19.5
(0, 1, 1, 1, 1)	20.1
(0, 1, 1, 1, 2)	16.1
(0, 1, 1, 2, 0)	14.2
(0, 1, 1, 2, 1)	16.1
(0, 1, 1, 2, 2)	11.7
(0, 1, 2, 0, 0)	14.2
(0, 1, 2, 0, 1)	9.9
(0, 1, 2, 0, 2)	7.6
(0, 1, 2, 1, 0)	14.2
(0, 1, 2, 1, 1)	14.0
(0, 1, 2, 1, 2)	8.9
(0, 1, 2, 2, 0)	10.6
(0, 1, 2, 2, 1)	9.2
(0, 1, 2, 2, 2)	16.3
(0, 2, 0, 0, 0)	0.0
(0, 2, 0, 0, 1)	8.2
(0, 2, 0, 0, 2)	0.0
(0, 2, 0, 1, 0)	5.6
(0, 2, 0, 1, 1)	15.4
(0, 2, 0, 1, 2)	8.0
(0, 2, 0, 2, 0)	0.0
(0, 2, 0, 2, 1)	5.4
(0, 2, 0, 2, 2)	0.0
(0, 2, 1, 0, 0)	11.1
(0, 2, 1, 0, 1)	15.8
(0, 2, 1, 0, 2)	7.0
(0, 2, 1, 1, 0)	13.9
(0, 2, 1, 1, 1)	20.8
(0, 2, 1, 1, 2)	15.8
(0, 2, 1, 2, 0)	15.1
(0, 2, 1, 2, 1)	13.2
(0, 2, 1, 2, 2)	9.2
(0, 2, 2, 0, 0)	0.0
(0, 2, 2, 0, 1)	6.7
(0, 2, 2, 0, 2)	0.0
(0, 2, 2, 1, 0)	4.8
(0, 2, 2, 1, 1)	9.6
(0, 2, 2, 1, 2)	6.2
(0, 2, 2, 2, 0)	0.0
(0, 2, 2, 2, 1)	5.0
(0, 2, 2, 2, 2)	0.0
(1, 0, 0, 0, 0)	3.7
(1, 0, 0, 0, 1)	16.9
(1, 0, 0, 0, 2)	10.4
(1, 0, 0, 1, 0)	13.4
(1, 0, 0, 1, 1)	9.4
(1, 0, 0, 1, 2)	9.1
(1, 0, 0, 2, 0)	8.5
(1, 0, 0, 2, 1)	13.4
(1, 0, 0, 2, 2)	5.6
(1, 0, 1, 0, 0)	14.1
(1, 0, 1, 0, 1)	18.7
(1, 0, 1, 0, 2)	11.5
(1, 0, 1, 1, 0)	13.2
(1, 0, 1, 1, 1)	12.8
(1, 0, 1, 1, 2)	15.4
(1, 0, 1, 2, 0)	8.6
(1, 0, 1, 2, 1)	18.8
(1, 0, 1, 2, 2)	10.9
(1, 0, 2, 0, 0)	9.3
(1, 0, 2, 0, 1)	11.7
(1, 0, 2, 0, 2)	6.9
(1, 0, 2, 1, 0)	8.8
(1, 0, 2, 1, 1)	18.9
(1, 0, 2, 1, 2)	16.0
(1, 0, 2, 2, 0)	8.6
(1, 0, 2, 2, 1)	7.0
(1, 0, 2, 2, 2)	8.9
(1, 1, 0, 0, 0)	14.4
(1, 1, 0, 0, 1)	17.7
(1, 1, 0, 0, 2)	9.0
(1, 1, 0, 1, 0)	13.9
(1, 1, 0, 1, 1)	24.5
(1, 1, 0, 1, 2)	26.0
(1, 1, 0, 2, 0)	9.9
(1, 1, 0, 2, 1)	14.0
(1, 1, 0, 2, 2)	16.2
(1, 1, 1, 0, 0)	17.2
(1, 1, 1, 0, 1)	23.3
(1, 1, 1, 0, 2)	19.6
(1, 1, 1, 1, 0)	23.6
(1, 1, 1, 1, 1)	19.5
(1, 1, 1, 1, 2)	27.9
(1, 1, 1, 2, 0)	18.4
(1, 1, 1, 2, 1)	23.4
(1, 1, 1, 2, 2)	19.2
(1, 1, 2, 0, 0)	20.8
(1, 1, 2, 0, 1)	20.3
(1, 1, 2, 0, 2)	13.4
