(0, 0, 0, 0, 0)	0.0
(0, 0, 0, 0, 1)	140.9
(0, 0, 0, 0, 2)	0.0
(0, 0, 0, 1, 0)	175.9
(0, 0, 0, 1, 1)	169.2
(0, 0, 0, 1, 2)	21.4
(0, 0, 0, 2, 0)	0.0
(0, 0, 0, 2, 1)	135.0
(0, 0, 0, 2, 2)	0.0
(0, 0, 1, 0, 0)	97.0
(0, 0, 1, 0, 1)	148.0
(0, 0, 1, 0, 2)	28.9
(0, 0, 1, 1, 0)	175.9
(0, 0, 1, 1, 1)	185.3
(0, 0, 1, 1, 2)	34.6
(0, 0, 1, 2, 0)	31.8
(0, 0, 1, 2, 1)	130.8
(0, 0, 1, 2, 2)	34.9
(0, 0, 2, 0, 0)	0.0
(0, 0, 2, 0, 1)	142.5
(0, 0, 2, 0, 2)	0.0
(0, 0, 2, 1, 0)	83.3
(0, 0, 2, 1, 1)	119.5
(0, 0, 2, 1, 2)	45.0
(0, 0, 2, 2, 0)	0.0
(0, 0, 2, 2, 1)	78.0
(0, 0, 2, 2, 2)	0.0
(0, 1, 0, 0, 0)	202.1
(0, 1, 0, 0, 1)	187.3
(0, 1, 0, 0, 2)	46.4
(0, 1, 0, 1, 0)	185.6
(0, 1, 0, 1, 1)	185.2
(0, 1, 0, 1, 2)	70.0
(0, 1, 0, 2, 0)	104.9
(0, 1, 0, 2, 1)	158.6
(0, 1, 0, 2, 2)	58.1
(0, 1, 1, 0, 0)	188.7
(0, 1, 1, 0, 1)	200.1
(0, 1, 1, 0, 2)	54.5
(0, 1, 1, 1, 0)	193.7
(0, 1, 1, 1, 1)	205.3
(0, 1, 1, 1, 2)	74.8
(0, 1, 1, 2, 0)	136.0
(0, 1, 1, 2, 1)	166.6
(0, 1, 1, 2, 2)	55.6
(0, 1, 2, 0, 0)	148.1
(0, 1, 2, 0, 1)	159.9
(0, 1, 2, 0, 2)	55.8
(0, 1, 2, 1, 0)	144.7
(0, 1, 2, 1, 1)	179.3
(0, 1, 2, 1, 2)	74.5
(0, 1, 2, 2, 0)	78.7
(0, 1, 2, 2, 1)	124.9
(0, 1, 2, 2, 2)	28.0
(0, 2, 0, 0, 0)	0.0
(0, 2, 0, 0, 1)	80.0
(0, 2, 0, 0, 2)	0.0
(0, 2, 0, 1, 0)	49.2
(0, 2, 0, 1, 1)	107.6
(0, 2, 0, 1, 2)	16.2
(0, 2, 0, 2, 0)	0.0
(0, 2, 0, 2, 1)	62.9
(0, 2, 0, 2, 2)	0.0
(0, 2, 1, 0, 0)	40.3
(0, 2, 1, 0, 1)	70.8
(0, 2, 1, 0, 2)	20.0
(0, 2, 1, 1, 0)	64.8
(0, 2, 1, 1, 1)	125.5
(0, 2, 1, 1, 2)	57.1
(0, 2, 1, 2, 0)	28.1
(0, 2, 1, 2, 1)	79.2
(0, 2, 1, 2, 2)	15.5
(0, 2, 2, 0, 0)	0.0
(0, 2, 2, 0, 1)	61.1
(0, 2, 2, 0, 2)	0.0
(0, 2, 2, 1, 0)	25.2
(0, 2, 2, 1, 1)	74.7
(0, 2, 2, 1, 2)	17.3
(0, 2, 2, 2, 0)	0.0
(0, 2, 2, 2, 1)	62.8
(0, 2, 2, 2, 2)	0.0
(1, 0, 0, 0, 0)	129.2
(1, 0, 0, 0, 1)	160.5
(1, 0, 0, 0, 2)	37.0
(1, 0, 0, 1, 0)	167.5
(1, 0, 0, 1, 1)	187.9
(1, 0, 0, 1, 2)	109.8
(1, 0, 0, 2, 0)	130.5
(1, 0, 0, 2, 1)	139.5
(1, 0, 0, 2, 2)	50.8
(1, 0, 1, 0, 0)	174.3
(1, 0, 1, 0, 1)	168.3
